Questions,Responses,Question number,Transcripts
please describe your involvement in the ppp process or any contract modalities under the ahdp in rwanda. ,"with attitude of happiness , i was the head of biomedical services department at rwanda biomedical center, i had in charge the national reference lab, and overseeing all hospital lab networks, the transfusion services, and medical technology division. i was supervising many activities including activities related to diagnostics and how they will rolled out into our system at the rwanda biomedical center. ",1,rwa-int-pe-2021-10-26-fi
are you familiar with the african health diagnostics platform currently being discussed in rwanda ?,"yes, i heard about it, when chai came with it as a project, to expand what was being considered as a ppp here in rwanda, if i recall what i heard it was meant to help government, to partner with a specific partner on multiple services related to diagnostics to make sure that the government delivers at the standard required by quality health both nationally and internationally.",2,rwa-int-pe-2021-10-26-fi
what was the process of negotiation over ppp/ contract specifics? ,"with attitude of shaking head , there was no contract yet, because the contract comes when the ppp is induced by the government and the contract was to come after the feasibility study was finalized and approved by steering committee.",3,rwa-int-pe-2021-10-26-fi
"what were the sticking points around the ppp/ contract modalities design, and how were they resolved? ","with sureness attitude , in rwanda everything is provided by the law, it is the ppp law of 2016 every design, and every contract has provisions in that law and the ppp is actually negotiated and brought to life by the rwanda development boardrdb .",4,rwa-int-pe-2021-10-26-fi
did negotiations take place as part of existing structures or did a new group/structure have to be established? ,"with sureness attitude , there was no negotiation with anybody, the partner had project, which was reassessed by rbc teams and rdb teams which brought together both the partners at private level and government of rwanda represented by moh/rbc. it was not like there was any negotiation about tender ship or tendering but it was maturing together a project which the government of rwanda would have induced for partnership.",5,rwa-int-pe-2021-10-26-fi
who has been involved in the design of the ppp / contract modalities?,"teams from moh, rbc and rdb",6,rwa-int-pe-2021-10-26-fi
how about chai?,"chai come in not as a negotiator, come in to help and go in depth into the partnership and it has accompanied efforts at the feasibility lever in terms of financing, facilitation and it has never been involved into negotiation.",7,rwa-int-pe-2021-10-26-fi
how did the actors involved in the design process change between the initial design and the final agreement or any current negotiation to refine the design of the ppp/contract modalities?,"no, we were still at the feasibility study level, so before it is completed, there is nothing else that could be done.",8,rwa-int-pe-2021-10-26-fi
have there been any champions supporting the ppp or any contract modalities?,"with attitude of happiness , yes of course i am the one",9,rwa-int-pe-2021-10-26-fi
have there been any actors trying to propose opposite direction from the main actors working in ppp or contracting modalities?,"with sureness attitude , yes of course you know new initiatives, do not go as smooth as you expect, many people saw into the ppp process, a kind of giving, to one partner the whole procurement of the whole process which is not always welcomed by everyone, so that is a hump already into the negotiation or the contracting of any partner, and i think if things are not well explained far before it might also be a hampering point or a sticking point at any contracting negotiation process.",10,rwa-int-pe-2021-10-26-fi
which institution was / will be ultimately responsible for approving the ppp design / contract modalities? ,"it is provided by the law only the steering committee approves the ppp, and the steering committee is composed of ministry of finance, ministry of infrastructure, rwanda development board and the ministry of health if things are related to health.",11,rwa-int-pe-2021-10-26-fi
what options were or are still being considered when designing the model? ,"with attitude of convincing , there are two models which are possible, but the our options was what is calledbotbuild operate and transferit is the model of ppp which brings the partner in partnershipwith the government to build up the design , the project and operate it and transfer it to government in a negotiated period.",12,rwa-int-pe-2021-10-26-fi
how does the ppp design or contract modalities distribute risks between government and the private sector? ,"with sureness attitude , when you operate you are 100% responsible and accountable to whatever might happen because the model you build is promising the government to do what is in the contract as it has to be done, the government is there to make sure to hold you accountable of what you had promised and contracted to do, so risks are both on side of the partner and the government, if the partner was to fail.",13,rwa-int-pe-2021-10-26-fi
"how does key ppp or ahdp implementation stakeholder committee capacity affect ppp or contract modalities design, tender/procurement and implementation? ","in rwanda every tender-ship or tendering process is provided by the law, if you have a proposal and you are proposing it to the government of rwanda, that proposal is accepted on one condition, that you make a feasibility study, which proves the project to be viable both financially and viable in terms of diagnostics, if you are considering diagnostics.secondly, if the government was to bring forth a project, then it will just put together project, do the feasibility study and tender it to any partner who is willing to partner with the government to bring it to flourish. it is in that direction things related to ppp work here in rwanda.",14,rwa-int-pe-2021-10-26-fi
how about public facility laboratory management capacity at the implementation,"no, the partner would have implemented the contract within the government facilities, that what is the government is bringing into the partnership, we have infrastructures at facility level, equipment, staffing but in terms of managing all of that it was meant that the partner will take over the managements of the labs and any activity at the level of the lab. then the partner negotiate with government what it is bringing back to the government, beyond the usual services as offered by gor, to the hospitals.",15,rwa-int-pe-2021-10-26-fi
how appropriate is the design to the local context?,"with sureness attitude , when you look at the needs, the capacity there is no way the public health will be able alone to deliver the quality health care in diagnostics to have a private partner who is willing to take over and bring at worldwide standards our diagnostics power and capacity it is in the advantage of the government to see it happening, it is actually partnering to deliver quality care and i think the design as it was designed it was the best we could get, hopefully in the future we will see many ppps being signed and contracted for health care delivery.",16,rwa-int-pe-2021-10-26-fi
how does the ppp design / contract modalities accommodate the needs of the priority populations?,"we canâ€™t accommodate any ppp if it has nothing to do with delivering services to our populations, as simple as that.",17,rwa-int-pe-2021-10-26-fi
how well does the ppp design / contract modalities address key considerations to improve access of laboratory diagnostics? ,"with sadness attitude , our capacity in diagnostics, is still low both in our hospitals public and private here in rwanda, you need people who have the knowhow to help pinch in, to bring up capacity and capability of people of lab technicians, so that we can deliver to the level we want as we look forward to see rwanda becoming a health hub.",18,rwa-int-pe-2021-10-26-fi
which consideration is best served by the current design? why?,"the motto of ministry of health is to make sure the health care is accessible both geographically, and financially any ppp which is being considered should deliver to those points, should make health care diagnostics services accessible and should make them affordable, there is no partnership ifany ppp is not delivering those. ",19,rwa-int-pe-2021-10-26-fi
which consideration is currently receiving the least attention in the current design? why? ,"with attitude of confusion , i can say it is availability because the services are not yet that delivered comprehensively in our own hospitals.",20,rwa-int-pe-2021-10-26-fi
what are the perceived costs and benefits of pursuing a ppp or contract modalities for laboratory diagnostics at this time? ,"with sureness attitude , ppp should have existed like yesterday, because it is the only way the government will be able to deliver the quality of services to our people. if it is not to happen then the government will take the whole burden of diagnostics, of training and informing people on its own and i think this is just too big for the government to carry on with all the priorities in other sectors.",21,rwa-int-pe-2021-10-26-fi
"ahdp is providing technical support and facilitating financing for this ppp / contract modalities, how did the availability of this support affect the ppp design or contract modalities? ","with sureness attitude , i donâ€™t think ahdp has yet started delivering any support to rwanda as current.",22,rwa-int-pe-2021-10-26-fi
what are current features of the ppp design / contract modalities that would not be possible without the financial instruments facilitated by ahdp? ,"with attitude of confusion , i think no partnership will be accountable to the contract unless there is availability of finance support both from government and ahdp, because a partner needs guarantee of their own investments, and i think ahdp will be there to guarantee that the service delivered will be paid as the contract says.",23,rwa-int-pe-2021-10-26-fi
"how supportive is the existing policy, legal and regulatory framework for ppps / contract modalities?","with sureness happy face attitude , rwanda is open to do business, when the partnership is to save the rwandan population , our policy are so open, and if there is any law harboring it ,it would be bent just to make surethe partnership happens. with the existence of 2016 law everything, all terms of the law mean to bring forth the partnership with private sector.",24,rwa-int-pe-2021-10-26-fi
how flexible is the ppp or contract modalities to changes in government or government priorities? ,"no ppp canâ€™t be accommodated unless it is aligned with government priorities, because even the private sectors when they come into partnership with the government they want to show that they aligned with government priorities.",25,rwa-int-pe-2021-10-26-fi
"historically, how have public and private sectors for health interacted? ","with attitude of shaking the head , i have no clue of history ",26,rwa-int-pe-2021-10-26-fi
"what other, earlier experiences or projects have there been in-country that can provide lessons for ahdp?","with attitude of smiling , they are so many ppps here in rwanda in different areas, the bugesera airport is being built under ppp, dialysis here is being done with people in ppp in our hospitals, so there are ppps which can inspire ahdp.",27,rwa-int-pe-2021-10-26-fi
how do the health system governance arrangements affect the ppp design or contract modalities and pre-tender process? ,"with attitude of confusion , perhaps what is lacking now is the moh taking the lead in defining theirneeds in project so that partners know what are their real needs , thebook containing the needs of ministry of health so that they can be implemented in partnership. but when there is no project aligned there then the partner will not know how to go and where to go.",28,rwa-int-pe-2021-10-26-fi
who is accountable for the success of the ppp and what are the important points that define the success? and to whom are they accountable?,"with sureness attitude , in diagnostics it is meant to bring our diagnostics to a well class medical diagnostics, if you can deliver that your partnership is successful. secondly it is meant to be delivering a system that makes rwanda shine on the well stage. third, it is bringing capacity of our technicians to deliver the quality of diagnostics care we wish. four, is to equip our laboratories with equipment that allow that to happen. ",29,rwa-int-pe-2021-10-26-fi
what has been the historic investment and interest from government in laboratory diagnostics?,"with attitude of happiness , the government of rwanda has sank millions of dollars, in diagnostics sectors, but the needs also national wide are bigger than the money perhaps we have and that is why we need partnerships.",30,rwa-int-pe-2021-10-26-fi
how does improvement in laboratory diagnostics align with government priorities for the health sector?,"with attitude of shaking the head , i donâ€™t know how to say it, but we have been constructing ,equipping our laboratories to bring the diagnostics services close to the populations and qualify to the standard of the quality services we want to deliver; any investment in the equipment, in infrastructure was aiming at bringing quality service to the people.",31,rwa-int-pe-2021-10-26-fi
"how has covid-19 affected the ppp design, contract modalities or pre-tender process?","with an upset face , covid-19 has disturbed many things, including the diagnostics but the ppp has put equipments that allowed us to face covid in terms of diagnosing it on decentralized level, so the money which is flowing in to fight covid it is also flowing in for diagnostics and that money is helping to expand the capacity our lab and we hope that whenever covid will fade away, all those equipment, will be used also to diagnose other diseases.",32,rwa-int-pe-2021-10-26-fi
who are key stakeholders in the ppp and why are they involved? ,"with tiredness attitude, the ppp means two partners; the government of rwanda in health represented byrwanda biomedical centerand ministry of health , the steering committee which approves the ppp which includes the ministry of finance, rwanda development board and the ministry of infrastructure. the hospitals facilities as the end users, perhaps the rssb as the public insurance company. we have to know that ppp is a kind of procurement which means has nothing to do with rwanda public procurement agency, perhaps it will have to do with the rwanda medical supply as the medium through which the government does procurement.",33,rwa-int-pe-2021-10-26-fi
how do they perceive the advantages and disadvantages of the ppp / contract modalities? ,"we have not yet done any survey, to know that",34,rwa-int-pe-2021-10-26-fi
what are their incentives to participate in the ppp or contract modalities? ,"with sureness attitude , there should be no incentives, they should do follow the steps of the government choice.",35,rwa-int-pe-2021-10-26-fi
how threatening to the success of the ppp or contract modalities is the potential for turnover in key positions among national actors? ,"with attitude of confusion , whenever there is a reshuffle on the position, it may also reshuffle the decision if they are not yet consolidated but if the ppp is already rolled outthen it will be neutral to reshuffle out.",36,rwa-int-pe-2021-10-26-fi
what is the relative influence of these actors on the design and pre-tender process? ,"with sureness attitude , the pre- tender process is provided by the law not by people.",37,rwa-int-pe-2021-10-26-fi
