Questions,Responses,Question number,Transcripts
please describe your involvement in the ppp process or any contract modalities under the ahdp in rwanda. ,attitude happiness head biomedical services department rwanda biomedical center charge national reference lab overseeing hospital lab networks transfusion services medical technology division supervising many activities including activities related diagnostics rolled system rwanda biomedical center,1,rwa-int-pe-2021-10-26-fi
are you familiar with the african health diagnostics platform currently being discussed in rwanda ?,yes heard chai came project expand considered ppp rwanda recall heard meant help government partner specific partner multiple services related diagnostics make sure government delivers standard required quality health nationally internationally,2,rwa-int-pe-2021-10-26-fi
what was the process of negotiation over ppp/ contract specifics? ,attitude shaking head contract yet contract comes ppp induced government contract come feasibility study finalized approved steering committee,3,rwa-int-pe-2021-10-26-fi
"what were the sticking points around the ppp/ contract modalities design, and how were they resolved? ",sureness attitude rwanda everything provided law ppp law 2016 every design every contract provisions law ppp actually negotiated brought life rwanda development boardrdb,4,rwa-int-pe-2021-10-26-fi
did negotiations take place as part of existing structures or did a new group/structure have to be established? ,sureness attitude negotiation anybody partner project reassessed rbc teams rdb teams brought together partners private level government rwanda represented mohrbc like negotiation tender ship tendering maturing together project government rwanda would induced partnership,5,rwa-int-pe-2021-10-26-fi
who has been involved in the design of the ppp / contract modalities?,teams moh rbc rdb,6,rwa-int-pe-2021-10-26-fi
how about chai?,chai come negotiator come help go depth partnership accompanied efforts feasibility lever terms financing facilitation never involved negotiation,7,rwa-int-pe-2021-10-26-fi
how did the actors involved in the design process change between the initial design and the final agreement or any current negotiation to refine the design of the ppp/contract modalities?,still feasibility study level completed nothing else could done,8,rwa-int-pe-2021-10-26-fi
have there been any champions supporting the ppp or any contract modalities?,attitude happiness yes course one,9,rwa-int-pe-2021-10-26-fi
have there been any actors trying to propose opposite direction from the main actors working in ppp or contracting modalities?,sureness attitude yes course know new initiatives go smooth expect many people saw ppp process kind giving one partner whole procurement whole process always welcomed everyone hump already negotiation contracting partner think things well explained far might also hampering point sticking point contracting negotiation process,10,rwa-int-pe-2021-10-26-fi
which institution was / will be ultimately responsible for approving the ppp design / contract modalities? ,provided law steering committee approves ppp steering committee composed ministry finance ministry infrastructure rwanda development board ministry health things related health,11,rwa-int-pe-2021-10-26-fi
what options were or are still being considered when designing the model? ,attitude convincing two models possible options calledbotbuild operate transferit model ppp brings partner partnershipwith government build design project operate transfer government negotiated period,12,rwa-int-pe-2021-10-26-fi
how does the ppp design or contract modalities distribute risks between government and the private sector? ,sureness attitude operate 100 responsible accountable whatever might happen model build promising government contract done government make sure hold accountable promised contracted risks side partner government partner fail,13,rwa-int-pe-2021-10-26-fi
"how does key ppp or ahdp implementation stakeholder committee capacity affect ppp or contract modalities design, tender/procurement and implementation? ",rwanda every tendership tendering process provided law proposal proposing government rwanda proposal accepted one condition make feasibility study proves project viable financially viable terms diagnostics considering diagnosticssecondly government bring forth project put together project feasibility study tender partner willing partner government bring flourish direction things related ppp work rwanda,14,rwa-int-pe-2021-10-26-fi
